Wavelength (nm),Power (mW)
1260,7.15E-09
1261,6.80E-10
1262,-2.00E-11
1263,-3.00E-11
1264,-1.00E-11
1265,-2.00E-11
1266,-2.00E-11
1267,-1.00E-11
1268,-1.00E-11
1269,-1.00E-11
1270,0
1271,1.00E-11
1272,8.00E-11
1273,3.00E-11
1274,9.00E-11
1275,3.00E-11
1276,-2.00E-11
1277,4.00E-11
1278,1.00E-11
1279,-1.00E-11
1280,0
1281,8.00E-11
1282,1.60E-10
1283,1.00E-11
1284,-2.00E-11
1285,1.00E-10
1286,1.00E-11
1287,7.00E-11
1288,-2.00E-11
1289,1.00E-11
1290,1.10E-10
1291,1.40E-10
1292,7.00E-11
1293,3.00E-11
1294,0
1295,9.00E-11
1296,3.00E-11
1297,6.00E-11
1298,0
1299,8.00E-11
1300,-2.00E-11
1301,0
1302,6.00E-11
1303,5.00E-11
1304,3.00E-11
1305,1.70E-10
1306,4.00E-11
1307,1.20E-10
1308,1.10E-10
1309,2.80E-10
1310,1.30E-10
1311,2.30E-10
1312,1.90E-10
1313,1.50E-10
1314,2.30E-10
1315,1.40E-10
1316,1.00E-10
1317,2.10E-10
1318,3.60E-10
1319,6.50E-10
1320,4.10E-10
1321,5.60E-10
1322,5.00E-10
1323,2.20E-10
1324,5.80E-10
1325,6.60E-10
1326,5.90E-10
1327,6.60E-10
1328,1.28E-09
1329,1.44E-09
1330,1.50E-09
1331,1.35E-09
1332,1.53E-09
1333,1.95E-09
1334,2.49E-09
1335,2.23E-09
1336,2.85E-09
1337,3.36E-09
1338,3.51E-09
1339,3.42E-09
1340,4.13E-09
1341,4.53E-09
1342,5.30E-09
1343,5.62E-09
1344,7.14E-09
1345,7.14E-09
1346,6.98E-09
1347,7.50E-09
1348,8.12E-09
1349,7.77E-09
1350,8.18E-09
1351,7.58E-09
1352,8.41E-09
1353,9.26E-09
1354,9.04E-09
1355,9.13E-09
1356,9.17E-09
1357,9.23E-09
1358,7.56E-09
1359,7.81E-09
1360,7.79E-09
