Wavelength (nm),Power (mW)
1260,4.73e-08
1261,3.76e-08
1262,4.58e-08
1263,4.21e-08
1264,4.41e-08
1265,4.36e-08
1266,4.6e-08
1267,4.45e-08
1268,4.37e-08
1269,4.83e-08
1270,4.91e-08
1271,4.58e-08
1272,4.52e-08
1273,5.39e-08
1274,5.26e-08
1275,5.53e-08
1276,5.86e-08
1277,5.86e-08
1278,6.41e-08
1279,6.44e-08
1280,6.48e-08
1281,7.3e-08
1282,7.57e-08
1283,8.21e-08
1284,8.94e-08
1285,8.89e-08
1286,1.037e-07
1287,1.053e-07
1288,1.083e-07
1289,1.186e-07
1290,1.324e-07
1291,1.357e-07
1292,1.527e-07
1293,1.622e-07
1294,1.819e-07
1295,2.003e-07
1296,1.943e-07
1297,2.411e-07
1298,2.63e-07
1299,3.21e-07
1300,3.43e-07
1301,3.42e-07
1302,3.81e-07
1303,4.53e-07
1304,5.31e-07
1305,5.52e-07
1306,5.42e-07
1307,6.72e-07
1308,7.58e-07
1309,8.64e-07
1310,9.75e-07
1311,1.055e-06
1312,1.248e-06
1313,1.283e-06
1314,1.47e-06
1315,1.77e-06
1316,1.915e-06
1317,2.313e-06
1318,2.469e-06
1319,2.659e-06
1320,3.21e-06
1321,3.92e-06
1322,4.46e-06
1323,4.9e-06
1324,5.61e-06
1325,6.2e-06
1326,6.89e-06
1327,8.3e-06
1328,9.27e-06
1329,1.052e-05
1330,1.202e-05
1331,1.372e-05
1332,1.504e-05
1333,1.562e-05
1334,1.591e-05
1335,1.745e-05
1336,2.033e-05
1337,2.317e-05
1338,2.62e-05
1339,2.918e-05
1340,3.12e-05
1341,3.35e-05
1342,3.59e-05
1343,3.96e-05
1344,4.39e-05
1345,4.75e-05
1346,5.01e-05
1347,5.49e-05
1348,5.74e-05
1349,5.66e-05
1350,5.49e-05
1351,5.48e-05
1352,5.48e-05
1353,5.17e-05
1354,5.1e-05
1355,5.38e-05
1356,5.45e-05
1357,5.3e-05
1358,4.76e-05
1359,4.2e-05
1360,3.85e-05
