Wavelength (nm),Power (mW)
1260,7.25E-06
1261,7.38E-06
1262,7.61E-06
1263,7.54E-06
1264,7.67E-06
1265,7.56E-06
1266,7.28E-06
1267,7.39E-06
1268,7.40E-06
1269,7.35E-06
1270,6.65E-06
1271,7.14E-06
1272,7.61E-06
1273,7.39E-06
1274,7.48E-06
1275,7.43E-06
1276,7.34E-06
1277,7.70E-06
1278,7.82E-06
1279,7.77E-06
1280,7.56E-06
1281,7.76E-06
1282,7.62E-06
1283,7.34E-06
1284,7.77E-06
1285,7.98E-06
1286,7.69E-06
1287,7.46E-06
1288,7.45E-06
1289,7.74E-06
1290,7.71E-06
1291,7.66E-06
1292,7.61E-06
1293,7.57E-06
1294,7.75E-06
1295,7.76E-06
1296,7.74E-06
1297,7.70E-06
1298,7.67E-06
1299,7.40E-06
1300,7.30E-06
1301,7.42E-06
1302,7.37E-06
1303,7.81E-06
1304,7.77E-06
1305,7.59E-06
1306,7.48E-06
1307,7.18E-06
1308,7.72E-06
1309,6.75E-06
1310,7.84E-06
1311,7.82E-06
1312,7.84E-06
1313,7.82E-06
1314,7.85E-06
1315,7.85E-06
1316,7.82E-06
1317,7.82E-06
1318,7.81E-06
1319,7.80E-06
1320,7.80E-06
1321,7.76E-06
1322,7.74E-06
1323,7.80E-06
1324,7.80E-06
1325,7.85E-06
1326,7.84E-06
1327,7.82E-06
1328,7.83E-06
1329,7.83E-06
1330,7.83E-06
1331,7.81E-06
1332,7.80E-06
1333,7.84E-06
1334,7.84E-06
1335,7.85E-06
1336,7.85E-06
1337,7.86E-06
1338,7.81E-06
1339,7.84E-06
1340,7.84E-06
1341,7.84E-06
1342,7.84E-06
1343,7.83E-06
1344,7.83E-06
1345,7.84E-06
1346,7.83E-06
1347,7.78E-06
1348,7.77E-06
1349,7.77E-06
1350,7.77E-06
1351,7.77E-06
1352,7.77E-06
1353,7.77E-06
1354,7.78E-06
1355,7.81E-06
1356,7.81E-06
1357,7.82E-06
1358,7.79E-06
1359,7.77E-06
1360,7.76E-06
