Current (A),Voltage (V)
-0.00609469,-8.0
-0.0060541,-7.95
-0.00601706,-7.9
-0.0059736,-7.85
-0.00593872,-7.8
-0.00590405,-7.75
-0.00586827,-7.7
-0.00583548,-7.65
-0.00580118,-7.6
-0.00576671,-7.55
-0.00573414,-7.5
-0.00570056,-7.45
-0.00566777,-7.4
-0.00563419,-7.35
-0.00559945,-7.3
-0.00556314,-7.25
-0.0055291,-7.2
-0.00549445,-7.15
-0.00545933,-7.1
-0.0054249,-7.05
-0.00539006,-7.0
-0.00535619,-6.95
-0.00532033,-6.9
-0.00528545,-6.85
-0.00525003,-6.8
-0.00521497,-6.75
-0.00517813,-6.7
-0.00514312,-6.65
-0.00510697,-6.6
-0.00507164,-6.55
-0.00503564,-6.5
-0.00499995,-6.45
-0.00496341,-6.4
-0.00492878,-6.35
-0.0048926,-6.3
-0.00485688,-6.25
-0.00482143,-6.2
-0.00478486,-6.15
-0.00474749,-6.1
-0.00471251,-6.05
-0.00467723,-6.0
-0.0046342,-5.95
-0.00459712,-5.9
-0.0045604,-5.85
-0.0045231,-5.8
-0.00448578,-5.75
-0.00444808,-5.7
-0.0044117,-5.65
-0.00437432,-5.6
-0.0043365,-5.55
-0.00429992,-5.5
-0.00426384,-5.45
-0.00422556,-5.4
-0.00418851,-5.35
-0.00415108,-5.3
-0.00411339,-5.25
-0.00407532,-5.2
-0.00403977,-5.15
-0.00400498,-5.1
-0.00396364,-5.05
-0.00392605,-5.0
-0.00388844,-4.95
-0.00384854,-4.9
-0.00381018,-4.85
-0.00377016,-4.8
-0.0037309,-4.75
-0.00369151,-4.7
-0.00365272,-4.65
-0.00361299,-4.6
-0.00357337,-4.55
-0.00353256,-4.5
-0.00349358,-4.45
-0.00345338,-4.4
-0.00341403,-4.35
-0.003373,-4.3
-0.00333327,-4.25
-0.00329329,-4.2
-0.00325357,-4.15
-0.00321264,-4.1
-0.0031726,-4.05
-0.00313155,-4.0
-0.00309156,-3.95
-0.00305112,-3.9
-0.00301005,-3.85
-0.00296861,-3.8
-0.00292806,-3.75
-0.00288773,-3.7
-0.00284633,-3.65
-0.00280571,-3.6
-0.00276434,-3.55
-0.00272374,-3.5
