Current (A),Voltage (V)
-0.0500058,-8.0
-0.0500054,-7.95
-0.0500034,-7.9
-0.0500031,-7.85
-0.050003,-7.8
-0.0500029,-7.75
-0.050003,-7.7
-0.050003,-7.65
-0.050003,-7.6
-0.050003,-7.55
-0.050003,-7.5
-0.050003,-7.45
-0.0500031,-7.4
-0.0491467,-7.35
-0.0478133,-7.3
-0.0465526,-7.25
-0.0453488,-7.2
-0.0441106,-7.15
-0.0429201,-7.1
-0.0417456,-7.05
-0.0405788,-7.0
-0.0394373,-6.95
-0.0382812,-6.9
-0.037152,-6.85
-0.0360673,-6.8
-0.035007,-6.75
-0.0340069,-6.7
-0.0326614,-6.65
-0.032042,-6.6
-0.03108,-6.55
-0.0301622,-6.5
-0.0289319,-6.45
-0.0283458,-6.4
-0.0274719,-6.35
-0.0266256,-6.3
-0.0255103,-6.25
-0.0247215,-6.2
-0.0243237,-6.15
-0.0236107,-6.1
-0.0227009,-6.05
-0.0218564,-6.0
-0.0212949,-5.95
-0.0205637,-5.9
-0.0199597,-5.85
-0.0193866,-5.8
-0.0188331,-5.75
-0.018322,-5.7
-0.017829,-5.65
-0.0175953,-5.6
-0.017294,-5.55
-0.0168824,-5.5
-0.0164845,-5.45
-0.016049,-5.4
-0.015454,-5.35
-0.0151239,-5.3
-0.0146749,-5.25
-0.0143566,-5.2
-0.0140608,-5.15
-0.0137579,-5.1
-0.0134527,-5.05
-0.0132128,-5.0
-0.0129668,-4.95
-0.0126481,-4.9
-0.0124099,-4.85
-0.0121903,-4.8
-0.0119647,-4.75
-0.0117426,-4.7
-0.0115266,-4.65
-0.0113225,-4.6
-0.0111437,-4.55
-0.0109357,-4.5
-0.010782,-4.45
-0.0106082,-4.4
-0.0104132,-4.35
-0.0102168,-4.3
-0.0100263,-4.25
-0.00983473,-4.2
-0.00965343,-4.15
-0.00953158,-4.1
-0.00934966,-4.05
-0.00916872,-4.0
-0.00900221,-3.95
-0.00882808,-3.9
-0.00865178,-3.85
-0.00847468,-3.8
-0.00830409,-3.75
-0.00813284,-3.7
-0.00796325,-3.65
-0.0077948,-3.6
-0.00763214,-3.55
-0.00745509,-3.5
-0.00729922,-3.45
-0.00714258,-3.4
-0.00697878,-3.35
-0.00682017,-3.3
-0.00668023,-3.25
-0.00652617,-3.2
-0.00637419,-3.15
-0.00622244,-3.1
-0.00606534,-3.05
-0.00591366,-3.0
-0.00576362,-2.95
-0.00561697,-2.9
-0.0054681,-2.85
-0.00532175,-2.8
-0.00517767,-2.75
-0.00503675,-2.7
-0.00489728,-2.65
-0.00475835,-2.6
-0.00462176,-2.55
-0.00448528,-2.5
-0.0043522,-2.45
-0.00421988,-2.4
-0.00408816,-2.35
-0.00395866,-2.3
-0.00383042,-2.25
-0.00370501,-2.2
-0.00358007,-2.15
-0.00345818,-2.1
-0.00333984,-2.05
-0.00322015,-2.0
-0.00310122,-1.95
-0.00298401,-1.9
-0.00287045,-1.85
-0.00275642,-1.8
-0.00264323,-1.75
-0.00253285,-1.7
-0.00242383,-1.65
-0.00231706,-1.6
-0.00221148,-1.55
-0.00210648,-1.5
-0.00200508,-1.45
-0.00190449,-1.4
-0.00180579,-1.35
-0.00170855,-1.3
-0.00161301,-1.25
-0.00152048,-1.2
-0.00142966,-1.15
-0.00134037,-1.1
-0.00125227,-1.05
-0.00116605,-1.0
-0.00108199,-0.95
-0.000999773,-0.9
-0.000919632,-0.85
-0.000841164,-0.8
-0.000764822,-0.75
-0.000690535,-0.7
-0.000618291,-0.65
-0.000548352,-0.6
-0.000481304,-0.55
-0.000416898,-0.5
-0.000355749,-0.45
-0.000298175,-0.4
-0.000244532,-0.35
-0.000195276,-0.3
-0.000150995,-0.25
-0.000112099,-0.2
-7.84814e-05,-0.15
-4.95636e-05,-0.1
-2.40221e-05,-0.05
-2.99447e-08,0.0
2.38749e-05,0.05
4.84933e-05,0.1
7.41775e-05,0.15
0.000101101,0.2
0.000129282,0.25
0.000158575,0.3
0.000188989,0.35
0.000220618,0.4
0.00025327,0.45
0.000287261,0.5
0.000322327,0.55
0.000358192,0.6
0.000394993,0.65
0.000432596,0.7
0.000470549,0.75
0.000509505,0.8
0.000549113,0.85
0.000589055,0.9
0.000629725,0.95
0.000671242,1.0
0.000712959,1.05
0.000754845,1.1
0.000797038,1.15
0.000840066,1.2
0.000882755,1.25
0.000925522,1.3
0.000968895,1.35
0.00101286,1.4
0.00105671,1.45
0.0010998,1.5
0.00114372,1.55
0.00118705,1.6
0.00123112,1.65
0.00127544,1.7
0.00132015,1.75
0.00136333,1.8
0.00140778,1.85
0.00145135,1.9
0.00149578,1.95
0.00153954,2.0
0.00158372,2.05
0.00162712,2.1
0.00167091,2.15
0.00171491,2.2
0.00175723,2.25
0.00180132,2.3
0.00184549,2.35
0.00189013,2.4
0.0019332,2.45
0.00197832,2.5
