Current (A),Voltage (V)
-0.0141503,-5.0
-0.013843,-4.95
-0.0135761,-4.9
-0.0133309,-4.85
-0.013084,-4.8
-0.0128134,-4.75
-0.0125658,-4.7
-0.012323,-4.65
-0.0121039,-4.6
-0.0118845,-4.55
-0.0116633,-4.5
-0.0114515,-4.45
-0.011252,-4.4
-0.0110611,-4.35
-0.0108698,-4.3
-0.0106797,-4.25
-0.0104846,-4.2
-0.0102822,-4.15
-0.0101124,-4.1
-0.00994728,-4.05
-0.00975839,-4.0
-0.0095761,-3.95
-0.00940006,-3.9
-0.00922067,-3.85
-0.00904326,-3.8
-0.00886051,-3.75
-0.00867466,-3.7
-0.00850386,-3.65
-0.0083331,-3.6
-0.00816018,-3.55
-0.00798612,-3.5
-0.00782017,-3.45
-0.00764639,-3.4
-0.00747334,-3.35
-0.00730721,-3.3
-0.00713848,-3.25
-0.00697296,-3.2
-0.00680838,-3.15
-0.00664606,-3.1
-0.00648667,-3.05
-0.00632781,-3.0
-0.00617087,-2.95
-0.00601298,-2.9
-0.00585738,-2.85
-0.00570382,-2.8
-0.00555223,-2.75
-0.00540023,-2.7
-0.00524968,-2.65
-0.00510231,-2.6
-0.00495522,-2.55
-0.00481201,-2.5
-0.00466971,-2.45
-0.00452885,-2.4
-0.00438793,-2.35
-0.00424956,-2.3
-0.00411232,-2.25
-0.00397749,-2.2
-0.00384253,-2.15
-0.00371019,-2.1
-0.00358061,-2.05
-0.00345081,-2.0
-0.00332345,-1.95
-0.00319762,-1.9
-0.00307387,-1.85
-0.0029516,-1.8
-0.00283144,-1.75
-0.00271235,-1.7
-0.00259564,-1.65
-0.0024803,-1.6
-0.00236703,-1.55
-0.00225582,-1.5
-0.00214602,-1.45
-0.00203836,-1.4
-0.00193214,-1.35
-0.00182789,-1.3
-0.00172555,-1.25
-0.00162506,-1.2
-0.00152679,-1.15
-0.00143037,-1.1
-0.00133614,-1.05
-0.00124425,-1.0
-0.00115417,-0.95
-0.00106587,-0.9
-0.000979813,-0.85
-0.000896023,-0.8
-0.000814383,-0.75
-0.000735253,-0.7
-0.000657873,-0.65
-0.000583286,-0.6
-0.000511196,-0.55
-0.000442163,-0.5
-0.000376605,-0.45
-0.000314989,-0.4
-0.000258075,-0.35
-0.000206195,-0.3
-0.000159805,-0.25
-0.000119115,-0.2
-8.3846e-05,-0.15
-5.33404e-05,-0.1
-2.62412e-05,-0.05
-7.70487e-07,0.0
2.44096e-05,0.05
5.00405e-05,0.1
7.63785e-05,0.15
0.000103777,0.2
0.000132081,0.25
0.000161528,0.3
0.000191946,0.35
0.000223275,0.4
0.000255777,0.45
0.000289185,0.5
0.000323841,0.55
0.000359319,0.6
0.00039572,0.65
0.000432989,0.7
0.000470622,0.75
0.000509207,0.8
0.000548663,0.85
0.000588511,0.9
0.000628621,0.95
0.000669531,1.0
0.000710423,1.05
0.000751605,1.1
0.000793583,1.15
0.000835416,1.2
0.000877793,1.25
0.000920089,1.3
0.000962502,1.35
0.0010058,1.4
0.00104843,1.45
0.00109126,1.5
0.00113427,1.55
0.00117734,1.6
0.00122066,1.65
0.00126399,1.7
0.00130736,1.75
0.00135064,1.8
0.00139434,1.85
0.00143702,1.9
0.00148038,1.95
0.00152346,2.0
0.00156655,2.05
0.00160977,2.1
0.00165281,2.15
0.00169626,2.2
0.00173942,2.25
0.00178234,2.3
0.00182569,2.35
0.00186877,2.4
0.00191146,2.45
0.0019539,2.5
0.0019982,2.55
0.00204105,2.6
0.00208356,2.65
0.00212542,2.7
0.0021688,2.75
0.00221118,2.8
0.00225371,2.85
0.00229488,2.9
0.00233742,2.95
0.00238024,3.0
0.00242244,3.05
0.00246402,3.1
0.00250621,3.15
0.00254785,3.2
0.00258946,3.25
0.00263098,3.3
0.00267282,3.35
0.0027149,3.4
0.00275599,3.45
0.00279688,3.5
0.00283976,3.55
0.00288038,3.6
0.00292228,3.65
0.00296333,3.7
0.00300419,3.75
0.00304026,3.8
0.00307067,3.85
0.00311059,3.9
0.00315115,3.95
0.00319236,4.0
0.00323298,4.05
0.00327473,4.1
0.00331606,4.15
0.0033567,4.2
0.00339804,4.25
0.00343867,4.3
0.00347866,4.35
0.00351918,4.4
0.0035597,4.45
0.00359755,4.5
0.00363818,4.55
0.00367789,4.6
0.00371604,4.65
0.00375555,4.7
0.00379644,4.75
0.00383482,4.8
0.00387252,4.85
0.00391089,4.9
0.00395099,4.95
0.00399252,5.0
