Current (A),Voltage (V)
0,-0.0607479
0,-0.060616
0,-0.0586799
0,-0.0611283
0,-0.059122
0,-0.058055
0,-0.0597253
0,-0.0600658
0,-0.058882
0,-0.0610428
0,-0.0559209
0,-0.061256
0,-0.058656
0,-0.0581651
0,-0.058165
0,-0.0569635
0,-0.0563016
0,-0.054256
0,-0.0576748
0,-0.0569878
0,-0.0570273
0,-0.0545284
0,-0.0561803
0,-0.0546263
0,-0.0499775
0,-0.0539679
0,-0.0557779
0,-0.0518014
0,-0.0536395
0,-0.0540237
0,-0.05312
0,-0.0494722
0,-0.0528871
0,-0.0544385
0,-0.0536979
0,-0.0517764
0,-0.0503719
0,-0.0505872
0,-0.0515673
0,-0.0520072
0,-0.0503099
0,-0.0474222
0,-0.0479065
0,-0.049534
0,-0.0452184
0,-0.0443505
0,-0.0471804
0,-0.045125
0,-0.0439691
0,-0.0448231
0,-0.0481402
0,-0.0458071
0,-0.0469696
0,-0.0428623
0,-0.043092
0,-0.0455403
0,-0.0457969
0,-0.044338
0,-0.04579
0,-0.0459701
0,-0.0448346
0,-0.0451082
0,-0.0453873
0,-0.0428699
0,-0.0441371
0,-0.0412651
0,-0.0385901
0,-0.0390782
0,-0.0416502
0,-0.0410331
0,-0.0418357
0,-0.0390613
0,-0.0398342
0,-0.0415204
0,-0.0416502
0,-0.040836
0,-0.0352987
0,-0.0397266
0,-0.0417615
0,-0.0380379
0,-0.038634
0,-0.0399145
0,-0.0404298
0,-0.0400089
0,-0.0386365
0,-0.0375887
0,-0.0360016
0,-0.0358163
0,-0.0389468
0,-0.0317594
0,-0.0373358
0,-0.0379105
0,-0.0360572
0,-0.0356602
0,-0.0355539
0,-0.0332236
0,-0.0339391
0,-0.0364296
0,-0.0298382
0,-0.0337506
0,-0.032022
0,-0.0307064
0,-0.0322911
0,-0.0321515
0,-0.0328614
0,-0.0313692
0,-0.0313929
0,-0.0306193
0,-0.0303107
0,-0.0319742
0,-0.029244
0,-0.0293706
0,-0.0294805
0,-0.0264578
0,-0.0283904
0,-0.0264696
0,-0.0274654
0,-0.030951
0,-0.0249949
0,-0.0256423
0,-0.026656
0,-0.0259968
0,-0.0271502
0,-0.0242531
0,-0.0244619
0,-0.0220844
0,-0.0208751
0,-0.0284678
0,-0.0276137
0,-0.0251835
0,-0.0254026
0,-0.0216689
0,-0.0247204
0,-0.0227557
0,-0.0255574
0,-0.0211893
0,-0.0226537
0,-0.0224132
0,-0.022826
0,-0.0185738
0,-0.0181466
0,-0.0205784
0,-0.0187715
0,-0.0185737
0,-0.0174516
0,-0.0168974
0,-0.0183603
0,-0.0176589
0,-0.0163177
0,-0.017877
0,-0.016653
0,-0.0143911
0,-0.0158314
0,-0.0162262
0,-0.0153356
0,-0.0145242
0,-0.0170798
0,-0.0196406
0,-0.0134835
0,-0.0171407
0,-0.0132385
0,-0.0153573
0,-0.0114853
0,-0.0165149
0,-0.014923
0,-0.0123389
0,-0.00828426
0,-0.0126896
0,-0.0130359
0,-0.00828418
0,-0.0124952
0,-0.0109475
0,-0.0123793
0,-0.0155859
0,-0.0117376
0,-0.0132918
0,-0.00999224
0,-0.00956471
0,-0.0080709
0,-0.0140895
0,-0.0105145
0,-0.0112783
0,-0.0104667
0,-0.0108907
0,-0.0125889
0,-0.00875614
0,-0.0095648
0,-0.0130289
0,-0.00938457
0,-0.00915325
0,-0.00593855
0,-0.00864408
0,-0.0096243
0,-0.00785826
0,-0.00522893
0,-0.00115931
0,-0.00670742
0,-0.00675778
0,-0.00373206
0,-0.00683404
0,-0.00854325
