Current (A),Voltage (V)
0.0,0.00305266
1e-09,0.00498816
2e-09,0.00750191
3e-09,0.0127732
4e-09,0.0135422
5e-09,0.017344
6e-09,0.0173314
7e-09,0.0212763
8e-09,0.0231478
9e-09,0.0295823
1e-08,0.0308722
1.1e-08,0.0321789
1.2e-08,0.0346331
1.3e-08,0.0376672
1.4e-08,0.0388399
1.5e-08,0.0470711
1.6e-08,0.0448748
1.7e-08,0.0504662
1.8e-08,0.0490601
1.9e-08,0.0569693
2e-08,0.0572742
2.1e-08,0.059299
2.2e-08,0.0632605
2.3e-08,0.0704429
2.4e-08,0.0673328
2.5e-08,0.0717479
2.6e-08,0.0703936
2.7e-08,0.0717624
2.8e-08,0.0799818
2.9e-08,0.079543
3e-08,0.0785053
3.1e-08,0.0895605
3.2e-08,0.0883777
3.3e-08,0.0855488
3.4e-08,0.0879913
3.5e-08,0.0905532
3.6e-08,0.0939779
3.7e-08,0.0927641
3.8e-08,0.0977954
3.9e-08,0.104273
4e-08,0.103585
4.1e-08,0.117768
4.2e-08,0.115527
4.3e-08,0.12128
4.4e-08,0.117419
4.5e-08,0.119107
4.6e-08,0.134964
4.7e-08,0.128539
4.8e-08,0.139919
4.9e-08,0.134167
5e-08,0.142227
5.1e-08,0.146751
5.2e-08,0.155152
5.3e-08,0.152517
5.4e-08,0.154676
5.5e-08,0.15781
5.6e-08,0.148209
5.7e-08,0.160053
5.8e-08,0.169647
5.9e-08,0.175088
6e-08,0.176586
6.1e-08,0.17707
6.2e-08,0.171254
6.3e-08,0.174666
6.4e-08,0.177872
6.5e-08,0.178256
6.6e-08,0.183928
6.7e-08,0.192405
6.8e-08,0.195539
6.9e-08,0.189554
7e-08,0.205671
7.1e-08,0.196689
7.2e-08,0.199759
7.3e-08,0.202737
7.4e-08,0.205162
7.5e-08,0.21862
7.6e-08,0.232337
7.7e-08,0.230751
7.8e-08,0.241648
7.9e-08,0.235192
8e-08,0.241728
8.1e-08,0.227404
8.2e-08,0.243611
8.3e-08,0.243618
8.4e-08,0.244506
8.5e-08,0.246986
8.6e-08,0.257763
8.7e-08,0.251475
8.8e-08,0.242616
8.9e-08,0.272011
9e-08,0.274044
9.1e-08,0.26448
9.2e-08,0.272125
9.3e-08,0.26711
9.4e-08,0.274951
9.5e-08,0.269206
9.6e-08,0.270651
9.7e-08,0.271699
9.8e-08,0.273425
9.9e-08,0.285187
1e-07,0.292102
