Current (A),Voltage (V)
0.0,0.00246903
5e-09,0.0128456
1e-08,0.0225673
1.5e-08,0.0325234
2e-08,0.0436798
2.5e-08,0.0495418
3e-08,0.0602276
3.5e-08,0.0764102
4e-08,0.0869128
4.5e-08,0.0975647
5e-08,0.103981
5.5e-08,0.109412
6e-08,0.120621
6.5e-08,0.142428
7e-08,0.159803
7.5e-08,0.173905
8e-08,0.184687
8.5e-08,0.187491
9e-08,0.201504
9.5e-08,0.208814
1e-07,0.219986
1.05e-07,0.203923
1.1e-07,0.236186
1.15e-07,0.229432
1.2e-07,0.258811
1.25e-07,0.248476
1.3e-07,0.256716
1.35e-07,0.278697
1.4e-07,0.290613
1.45e-07,0.310808
1.5e-07,0.323511
1.55e-07,0.293921
1.6e-07,0.322784
1.65e-07,0.343625
1.7e-07,0.344944
1.75e-07,0.363227
1.8e-07,0.348832
1.85e-07,0.380175
1.9e-07,0.390602
1.95e-07,0.381042
2e-07,0.407744
2.05e-07,0.404456
2.1e-07,0.411948
2.15e-07,0.414414
2.2e-07,0.447253
2.25e-07,0.43932
2.3e-07,0.443902
2.35e-07,0.461613
2.4e-07,0.458937
2.45e-07,0.478882
2.5e-07,0.474852
2.55e-07,0.489361
2.6e-07,0.491565
2.65e-07,0.491856
2.7e-07,0.490172
2.75e-07,0.490227
2.8e-07,0.490009
2.85e-07,0.489616
2.9e-07,0.511993
2.95e-07,0.518624
3e-07,0.506797
3.05e-07,0.535424
3.1e-07,0.542528
3.15e-07,0.565289
3.2e-07,0.537432
3.25e-07,0.535405
3.3e-07,0.587313
3.35e-07,0.574428
3.4e-07,0.574215
3.45e-07,0.593576
3.5e-07,0.576833
3.55e-07,0.576809
3.6e-07,0.602062
3.65e-07,0.589627
3.7e-07,0.618151
3.75e-07,0.627905
3.8e-07,0.624412
3.85e-07,0.633292
3.9e-07,0.626311
3.95e-07,0.644825
4e-07,0.654611
4.05e-07,0.654097
4.1e-07,0.657214
4.15e-07,0.677268
4.2e-07,0.684541
4.25e-07,0.705775
4.3e-07,0.714224
4.35e-07,0.711778
4.4e-07,0.729631
4.45e-07,0.738264
4.5e-07,0.724137
4.55e-07,0.728839
4.6e-07,0.752919
4.65e-07,0.759002
4.7e-07,0.784181
4.75e-07,0.785553
4.8e-07,0.797594
4.85e-07,0.787948
4.9e-07,0.783108
4.95e-07,0.801486
5e-07,0.838796
5.05e-07,0.827271
5.1e-07,0.826549
5.15e-07,0.840787
5.2e-07,0.850816
5.25e-07,0.86413
5.3e-07,0.868962
5.35e-07,0.89864
5.4e-07,0.888143
5.45e-07,0.925348
5.5e-07,0.920517
5.55e-07,0.908633
5.6e-07,0.93646
5.65e-07,0.924572
5.7e-07,0.963473
5.75e-07,0.943068
5.8e-07,0.95528
5.85e-07,0.964023
5.9e-07,0.949343
5.95e-07,0.963975
6e-07,0.97177
6.05e-07,0.988401
6.1e-07,0.992875
6.15e-07,0.978977
6.2e-07,0.981363
6.25e-07,0.997337
6.3e-07,0.990837
6.35e-07,1.00047
6.4e-07,1.00074
6.45e-07,1.02732
6.5e-07,1.05416
6.55e-07,1.04365
6.6e-07,1.06493
6.65e-07,1.08725
6.7e-07,1.0537
6.75e-07,1.0561
6.8e-07,1.07427
6.85e-07,1.07078
6.9e-07,1.06702
6.95e-07,1.09927
7e-07,1.08833
7.05e-07,1.05772
7.1e-07,1.11996
7.15e-07,1.09353
7.2e-07,1.09204
7.25e-07,1.09064
7.3e-07,1.08864
7.35e-07,1.0959
7.4e-07,1.11301
7.45e-07,1.11821
7.5e-07,1.12468
7.55e-07,1.11738
7.6e-07,1.13247
7.65e-07,1.10965
7.7e-07,1.1421
7.75e-07,1.20617
7.8e-07,1.19824
7.85e-07,1.21347
7.9e-07,1.21459
7.95e-07,1.22045
8e-07,1.17933
8.05e-07,1.22304
8.1e-07,1.18688
8.15e-07,1.19963
8.2e-07,1.20254
8.25e-07,1.20955
8.3e-07,1.20587
8.35e-07,1.23089
8.4e-07,1.23559
8.45e-07,1.25659
8.5e-07,1.26118
8.55e-07,1.25158
