Current (A),Voltage (V)
-0.000122804,-2.0
-0.000121925,-1.95
-0.000120979,-1.9
-0.000119971,-1.85
-0.000118906,-1.8
-0.000117765,-1.75
-0.000116568,-1.7
-0.000115287,-1.65
-0.000113936,-1.6
-0.000112491,-1.55
-0.000110967,-1.5
-0.000109389,-1.45
-0.000107746,-1.4
-0.00010603,-1.35
-0.000104238,-1.3
-0.00010235,-1.25
-0.000100387,-1.2
-9.83414e-05,-1.15
-9.61958e-05,-1.1
-9.39778e-05,-1.05
-9.16849e-05,-1.0
-8.92823e-05,-0.95
-8.67923e-05,-0.9
-8.4211e-05,-0.85
-8.15497e-05,-0.8
-7.87873e-05,-0.75
-7.59275e-05,-0.7
-7.29857e-05,-0.65
-6.99476e-05,-0.6
-6.68036e-05,-0.55
-6.35615e-05,-0.5
-6.02196e-05,-0.45
-5.67751e-05,-0.4
-5.32408e-05,-0.35
-4.9583e-05,-0.3
-4.58169e-05,-0.25
-4.1956e-05,-0.2
-3.79747e-05,-0.15
-3.38716e-05,-0.1
-2.96592e-05,-0.05
-2.53328e-05,0.0
-2.08911e-05,0.05
-1.63252e-05,0.1
-1.16208e-05,0.15
-6.75105e-06,0.2
-1.78823e-06,0.25
3.34209e-06,0.3
8.64585e-06,0.35
1.41348e-05,0.4
1.98748e-05,0.45
2.60104e-05,0.5
3.29654e-05,0.55
4.19904e-05,0.6
5.7159e-05,0.65
9.18313e-05,0.7
0.000181553,0.75
0.000362606,0.8
0.00060767,0.85
0.00089619,0.9
0.00125456,0.95
0.00171952,1.0
0.00233022,1.05
0.00312544,1.1
0.00415278,1.15
0.00546412,1.2
0.00712244,1.25
0.00918653,1.3
0.0117278,1.35
0.0148249,1.4
0.0185581,1.45
0.0199939,1.5
0.0199938,1.55
0.0199939,1.6
0.0199939,1.65
0.0199939,1.7
0.0199939,1.75
0.019994,1.8
0.0199939,1.85
0.019994,1.9
0.0199942,1.95
0.019994,2.0
0.019994,2.05
0.0199939,2.1
0.0199939,2.15
0.019994,2.2
0.0199939,2.25
0.0199939,2.3
0.0199938,2.35
0.0199938,2.4
0.0199939,2.45
0.019994,2.5
0.019994,2.55
0.019994,2.6
0.0199941,2.65
0.019994,2.7
0.0199939,2.75
0.0199937,2.8
0.0199938,2.85
0.0199939,2.9
0.019994,2.95
0.0199939,3.0
