Current (A),Voltage (V)
-6.67632e-05,-2.0
-6.62933e-05,-1.95
-6.62827e-05,-1.9
-6.60975e-05,-1.85
-6.55428e-05,-1.8
-6.44937e-05,-1.75
-6.33996e-05,-1.7
-6.17334e-05,-1.65
-6.02784e-05,-1.6
-5.84766e-05,-1.55
-5.66484e-05,-1.5
-5.45663e-05,-1.45
-5.25005e-05,-1.4
-5.03121e-05,-1.35
-4.81088e-05,-1.3
-4.57411e-05,-1.25
-4.34098e-05,-1.2
-4.12242e-05,-1.15
-3.89118e-05,-1.1
-3.65937e-05,-1.05
-3.433e-05,-1.0
-3.20987e-05,-0.95
-2.99066e-05,-0.9
-2.77291e-05,-0.85
-2.56896e-05,-0.8
-2.36853e-05,-0.75
-2.18408e-05,-0.7
-1.98984e-05,-0.65
-1.81426e-05,-0.6
-1.63976e-05,-0.55
-1.47394e-05,-0.5
-1.31339e-05,-0.45
-1.15764e-05,-0.4
-1.01082e-05,-0.35
-8.64791e-06,-0.3
-7.29843e-06,-0.25
-5.98273e-06,-0.2
-4.67172e-06,-0.15
-3.37077e-06,-0.1
-1.96655e-06,-0.05
-3.26783e-07,0.0
1.58755e-06,0.05
3.60969e-06,0.1
5.57332e-06,0.15
7.43438e-06,0.2
9.24241e-06,0.25
1.099e-05,0.3
1.27118e-05,0.35
1.46191e-05,0.4
1.65964e-05,0.45
1.85522e-05,0.5
2.07523e-05,0.55
2.27646e-05,0.6
2.48996e-05,0.65
2.71011e-05,0.7
2.93259e-05,0.75
3.17376e-05,0.8
3.42497e-05,0.85
3.68194e-05,0.9
3.9599e-05,0.95
4.22309e-05,1.0
4.52024e-05,1.05
4.82617e-05,1.1
5.1264e-05,1.15
5.45689e-05,1.2
5.81959e-05,1.25
6.18487e-05,1.3
6.56963e-05,1.35
6.99753e-05,1.4
7.45173e-05,1.45
7.93131e-05,1.5
8.39918e-05,1.55
8.92359e-05,1.6
9.48383e-05,1.65
0.00010035,1.7
0.000106387,1.75
0.000112602,1.8
0.000118965,1.85
0.000125738,1.9
0.000132587,1.95
0.000140298,2.0
0.000147263,2.05
0.000154914,2.1
0.000162938,2.15
0.000170751,2.2
0.000179191,2.25
0.000188063,2.3
0.000196503,2.35
0.000206319,2.4
0.000215511,2.45
0.000224782,2.5
0.000235654,2.55
0.000244224,2.6
0.000255322,2.65
0.00026563,2.7
0.000275021,2.75
0.000286936,2.8
0.000298782,2.85
0.000310573,2.9
0.000322557,2.95
0.000334336,3.0
