Current (A),Voltage (V)
-7.67466e-07,0.0
2.44275e-05,0.05
5.00536e-05,0.1
7.64017e-05,0.15
0.000103663,0.2
0.000131925,0.25
0.000161194,0.3
0.000191502,0.35
0.000222889,0.4
0.000255311,0.45
0.000288769,0.5
0.000323164,0.55
0.00035843,0.6
0.000394714,0.65
0.00043171,0.7
0.000469618,0.75
0.000507809,0.8
0.000546797,0.85
0.000586542,0.9
0.000626519,0.95
0.000666997,1.0
0.000707914,1.05
0.000748954,1.1
0.000790414,1.15
0.000832048,1.2
0.000873973,1.25
0.000916063,1.3
0.000958234,1.35
0.00100075,1.4
0.00104303,1.45
0.00108527,1.5
0.00112769,1.55
0.00117056,1.6
0.00121292,1.65
0.00125495,1.7
0.0012978,1.75
0.00134039,1.8
0.00138289,1.85
0.00142534,1.9
0.00146763,1.95
0.0015104,2.0
0.00155287,2.05
0.00159542,2.1
0.0016374,2.15
0.00167982,2.2
0.00172236,2.25
0.00176437,2.3
0.00180694,2.35
0.00184934,2.4
0.00189261,2.45
0.00193499,2.5
0.00197705,2.55
0.00201981,2.6
0.00206236,2.65
0.00210427,2.7
0.00214628,2.75
0.00218794,2.8
0.00223052,2.85
0.00227264,2.9
0.00231676,2.95
0.00235452,3.0
0.00239118,3.05
0.00242423,3.1
0.00246562,3.15
0.00250574,3.2
0.00254777,3.25
0.00258846,3.3
0.00263002,3.35
0.00267158,3.4
0.00271289,3.45
0.00275389,3.5
0.00279602,3.55
0.00283689,3.6
0.00287851,3.65
0.00291953,3.7
0.00296136,3.75
0.0030023,3.8
0.00304347,3.85
0.00308523,3.9
0.0031264,3.95
0.00316714,4.0
0.00320816,4.05
0.00324849,4.1
0.0032886,4.15
0.00332857,4.2
0.00336981,4.25
0.00341074,4.3
0.00345178,4.35
0.00348999,4.4
0.00353012,4.45
0.00356998,4.5
0.00360952,4.55
0.0036499,4.6
0.00368993,4.65
0.00372998,4.7
0.00376926,4.75
0.00380883,4.8
0.00385224,4.85
0.00389124,4.9
0.00392765,4.95
0.00396527,5.0
