Time (s),Current (A)
0,-0.00116502
1,-0.0011618
2,-0.001163
3,-0.0011645
4,-0.00116584
5,-0.0011683
6,-0.00117174
7,-0.00117415
8,-0.00118054
9,-0.0011805
10,-0.0011797
11,-0.00118167
12,-0.00118218
13,-0.0011804
14,-0.00118127
15,-0.0011813
16,-0.00118133
17,-0.00118093
18,-0.00118043
19,-0.00118059
20,-0.00118134
21,-0.0011822
22,-0.00118254
23,-0.00118319
24,-0.00118011
25,-0.00118107
26,-0.00118241
27,-0.00118325
28,-0.00118281
29,-0.0011829
30,-0.00118353
31,-0.00118346
32,-0.00118487
33,-0.00118216
34,-0.00118285
35,-0.00118399
36,-0.00118519
37,-0.00118613
38,-0.00118601
39,-0.00118605
40,-0.00118595
41,-0.0011873
42,-0.0011889
43,-0.00118985
44,-0.00118549
45,-0.00118606
46,-0.00118611
47,-0.00118697
48,-0.00118744
49,-0.00118804
50,-0.00118937
51,-0.00118656
52,-0.00118723
53,-0.00118738
54,-0.00118831
55,-0.00118867
56,-0.00118828
57,-0.00118904
58,-0.00118917
59,-0.00118936
60,-0.00118914
61,-0.00119007
62,-0.00118968
63,-0.00119052
64,-0.00119007
65,-0.00119036
66,-0.00119016
67,-0.00119017
68,-0.00119039
69,-0.0011905
70,-0.00119725
71,-0.00119645
72,-0.00119614
73,-0.0011958
74,-0.00119582
75,-0.00119567
76,-0.00119576
77,-0.00119558
78,-0.00119557
79,-0.00119529
80,-0.00119502
81,-0.00119526
82,-0.0011951
83,-0.00119551
84,-0.00119535
85,-0.00119559
86,-0.00119546
87,-0.00119603
88,-0.00119575
89,-0.00119591
90,-0.00119583
91,-0.00119564
92,-0.00119579
93,-0.00119584
94,-0.00119612
95,-0.00119652
96,-0.00119651
97,-0.00119555
98,-0.0011957
99,-0.00119541
100,-0.00119492
101,-0.00119512
102,-0.00119525
103,-0.00119481
104,-0.00119501
105,-0.00119559
106,-0.00119568
107,-0.00119648
108,-0.00119794
109,-0.00119877
110,-0.00119972
111,-0.00119924
112,-0.00119959
113,-0.0011996
114,-0.00119991
115,-0.00120102
116,-0.00120207
117,-0.00120195
118,-0.00120228
119,-0.00120224
120,-0.00120288
121,-0.00120301
122,-0.00120338
123,-0.0012044
124,-0.00120405
125,-0.0012037
126,-0.00120363
127,-0.00120314
128,-0.0012036
129,-0.00120228
130,-0.00120174
131,-0.0012017
132,-0.00120179
133,-0.00120182
134,-0.00120082
135,-0.00120107
136,-0.00120121
137,-0.00120085
138,-0.00120102
139,-0.00120156
140,-0.00120171
141,-0.00120203
142,-0.00120166
143,-0.00120171
144,-0.00120139
145,-0.00120122
146,-0.00120139
147,-0.00120149
148,-0.00120148
149,-0.00120216
150,-0.00120213
151,-0.00120235
152,-0.0012027
153,-0.00120256
154,-0.00120274
155,-0.00120263
156,-0.00120252
157,-0.00120268
158,-0.00120343
159,-0.00120355
160,-0.00120361
161,-0.00120389
162,-0.00120448
163,-0.0012048
164,-0.00120475
165,-0.00120443
166,-0.00120499
167,-0.00120475
168,-0.00120574
169,-0.00120682
170,-0.0012079
171,-0.0012078
172,-0.001208
173,-0.00120844
174,-0.00120869
175,-0.00120895
176,-0.00120894
177,-0.00120936
178,-0.00120962
179,-0.00120907
180,-0.00120977
181,-0.00120956
182,-0.0012099
183,-0.00120979
184,-0.00120994
185,-0.00120981
186,-0.00121008
187,-0.0012102
188,-0.00120995
189,-0.0012102
190,-0.0012098
191,-0.00120963
192,-0.00120978
193,-0.00121002
194,-0.00121021
195,-0.00121041
196,-0.00121045
197,-0.00121046
198,-0.00121061
199,-0.00121061
200,-0.00121052
201,-0.00121025
202,-0.0012096
203,-0.00120947
204,-0.00120923
205,-0.00120899
206,-0.00120819
207,-0.00121013
208,-0.00121184
209,-0.00121157
210,-0.0012138
211,-0.00121579
212,-0.00121535
213,-0.0012145
214,-0.0012145
215,-0.00121538
216,-0.00121627
217,-0.00121548
218,-0.00121565
219,-0.00121558
220,-0.00121506
221,-0.00121548
222,-0.00121493
223,-0.00121498
224,-0.00121509
225,-0.00121551
226,-0.00121525
227,-0.00121546
228,-0.00121554
229,-0.00121519
230,-0.00121555
231,-0.00121525
232,-0.00121483
233,-0.00121423
234,-0.00121442
235,-0.0012138
236,-0.00121402
237,-0.00121406
238,-0.0012139
239,-0.00121413
240,-0.00121401
241,-0.00121316
242,-0.0012131
243,-0.00121266
244,-0.00121271
245,-0.0012122
246,-0.00121221
247,-0.00121171
248,-0.00121094
249,-0.00121106
250,-0.00121081
251,-0.00121054
252,-0.00121038
253,-0.00121037
254,-0.0012107
255,-0.00121027
256,-0.00121033
257,-0.00121017
258,-0.00121034
259,-0.00121058
260,-0.00121038
261,-0.00121044
262,-0.00121047
263,-0.00121041
264,-0.00121048
265,-0.00121032
266,-0.00121046
267,-0.00121004
268,-0.0012104
269,-0.00120996
270,-0.00120988
271,-0.00121
272,-0.00121012
273,-0.00120968
274,-0.00120994
275,-0.00121043
276,-0.00121028
277,-0.00120979
278,-0.00121013
279,-0.00120966
280,-0.00120981
281,-0.00121003
282,-0.00120977
283,-0.00120963
284,-0.00120969
285,-0.00120934
286,-0.00120949
287,-0.00120971
288,-0.00120971
289,-0.0012098
290,-0.00120957
291,-0.00120938
292,-0.00120916
293,-0.00122521
294,-0.00122401
295,-0.00122376
296,-0.00122387
297,-0.00122368
298,-0.00122304
299,-0.00122308
